1156.586191, 4.661324, 921.474316, 230.450552: ns per cell total, react, vel_step, dens_step
1175.017558, 4.663574, 935.306691, 235.047293: ns per cell total, react, vel_step, dens_step
1187.690865, 14.570586, 938.035192, 235.085087: ns per cell total, react, vel_step, dens_step
1182.873796, 4.788048, 945.337670, 232.748078: ns per cell total, react, vel_step, dens_step
1178.243363, 4.746115, 938.306904, 235.190345: ns per cell total, react, vel_step, dens_step
1176.964370, 4.770939, 937.366752, 234.826679: ns per cell total, react, vel_step, dens_step
1178.309052, 4.743845, 937.897053, 235.668155: ns per cell total, react, vel_step, dens_step
1178.514244, 4.762146, 939.355030, 234.397068: ns per cell total, react, vel_step, dens_step
1177.458078, 4.759914, 938.286982, 234.411182: ns per cell total, react, vel_step, dens_step
1176.228725, 4.666130, 937.735758, 233.826837: ns per cell total, react, vel_step, dens_step
1177.769119, 4.745601, 937.399806, 235.623713: ns per cell total, react, vel_step, dens_step
1181.375622, 4.912370, 942.141915, 234.321337: ns per cell total, react, vel_step, dens_step
1176.048833, 4.737627, 938.374004, 232.937202: ns per cell total, react, vel_step, dens_step
1177.810481, 4.773601, 938.588619, 234.448261: ns per cell total, react, vel_step, dens_step
